"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Otu0443",1.2810060277532e-05,2.52068928041759e-05,2.72730315586166e-05,9.09101051953885e-06,2.39672095515115e-05,3.14053090674979e-05,2.64465760568403e-05,1.9008476540854e-05,6.77693511456533e-05,6.57032123912126e-05,3.38846755728266e-05,1.69423377864133e-05,6.61164401421008e-06,2.39672095515115e-05,2.60333483059522e-05,1.85952487899658e-05,3.09920813166097e-05,6.61164401421008e-06,2.76862593095047e-05,0.000100001115714927,2.06613875444065e-05,3.01656258148335e-05,1.9008476540854e-05,3.26449923201622e-05,3.14053090674979e-05,9.75217492095986e-05,9.91746602131511e-06,8.67778276865072e-06,8.67778276865072e-06,4.4628597095918e-05,3.88434085834842e-05,9.91746602131511e-06,3.09920813166097e-05,3.30582200710504e-06,8.14058669249616e-05,2.10746152952946e-05,1.40497435301964e-05,0.000138431296547523,3.5124358825491e-05,1.98349320426302e-05,6.32238458858839e-05,5.20666966119043e-05,2.19010707970709e-05,1.32232880284202e-05,6.19841626332195e-05,1.2810060277532e-05,1.40497435301964e-05,1.61158822846371e-05,9.91746602131511e-06,1.85952487899658e-05,5.28931521136806e-05,4.1322775088813e-06,5.99180238787788e-05,5.33063798645687e-05,3.14053090674979e-05,2.10746152952946e-05,5.78518851243382e-05,0.000333888022717609,1.36365157793083e-05,2.64465760568403e-05,1.81820210390777e-05,1.32232880284202e-05,1.77687932881896e-05,1.36365157793083e-05,1.57026545337489e-05,0.000212399063956499,3.09920813166097e-05,3.71904975799317e-05,4.09095473379248e-05,4.09095473379248e-05,4.04963195870367e-05,1.73555655373014e-05,1.32232880284202e-05,6.6942895643877e-05,4.25624583414774e-05,3.55375865763792e-05,0.000107852442981802,2.27275262988471e-05,3.34714478219385e-05,9.50423827042698e-06,2.19010707970709e-05,0.000180167299387225,2.89259425621691e-05,1.81820210390777e-05,6.19841626332195e-06,3.84301808325961e-05,8.05794114231853e-05,1.61158822846371e-05,9.91746602131511e-06,1.85952487899658e-05,4.1322775088813e-05,3.71904975799317e-05,4.95873301065756e-05,5.78518851243382e-05,1.69423377864133e-05,2.72730315586166e-05,2.93391703130572e-05,8.96704219427242e-05,5.04137856083518e-05,6.19841626332195e-06
"Otu0444",4.95873301065756e-06,7.85132726687447e-06,1.52894267828608e-05,4.1322775088813e-06,1.03306937722032e-05,4.1322775088813e-06,4.95873301065756e-06,1.98349320426302e-05,1.32232880284202e-05,2.19010707970709e-05,2.64465760568403e-05,5.78518851243382e-06,2.89259425621691e-06,1.23968325266439e-05,2.89259425621691e-06,9.50423827042698e-06,1.44629712810845e-05,4.54550525976943e-06,1.32232880284202e-05,1.85952487899658e-05,4.95873301065756e-06,1.36365157793083e-05,7.43809951598634e-06,9.91746602131511e-06,1.61158822846371e-05,1.03306937722032e-05,2.89259425621691e-06,2.06613875444065e-06,8.2645550177626e-07,1.03306937722032e-05,2.52068928041759e-05,3.71904975799317e-06,8.67778276865072e-06,1.65291100355252e-06,1.94217042917421e-05,1.23968325266439e-06,7.85132726687447e-06,3.59508143272673e-05,2.14878430461827e-05,7.85132726687447e-06,9.50423827042698e-06,1.36365157793083e-05,5.78518851243382e-06,4.54550525976943e-06,2.80994870603928e-05,2.06613875444065e-06,8.67778276865072e-06,2.89259425621691e-06,4.54550525976943e-06,4.54550525976943e-06,1.65291100355252e-05,3.30582200710504e-06,6.61164401421008e-06,7.60339061634159e-05,7.02487176509821e-06,1.15703770248676e-05,5.95047961278907e-05,1.07439215230914e-05,1.40497435301964e-05,2.8512714811281e-05,1.19836047757558e-05,7.02487176509821e-06,8.2645550177626e-06,2.89259425621691e-06,9.09101051953885e-06,2.31407540497353e-05,6.61164401421008e-06,8.2645550177626e-06,5.37196076154569e-06,3.71904975799317e-05,1.07439215230914e-05,4.1322775088813e-06,1.69423377864133e-05,6.19841626332195e-06,1.98349320426302e-05,2.43804373023997e-05,6.73561233947651e-05,3.30582200710504e-06,7.02487176509821e-06,9.09101051953885e-06,2.52068928041759e-05,3.76037253308198e-05,1.81820210390777e-05,1.07439215230914e-05,2.47936650532878e-06,1.61158822846371e-05,1.98349320426302e-05,3.76037253308198e-05,4.95873301065756e-06,4.95873301065756e-06,2.31407540497353e-05,1.40497435301964e-05,1.48761990319727e-05,2.60333483059522e-05,1.07439215230914e-05,1.61158822846371e-05,2.60333483059522e-05,1.48761990319727e-05,6.19841626332195e-06,4.1322775088813e-07
"Otu0445",7.02487176509821e-06,7.02487176509821e-06,9.09101051953885e-06,9.09101051953885e-06,1.2810060277532e-05,7.02487176509821e-06,2.64465760568403e-05,1.48761990319727e-05,2.35539818006234e-05,2.06613875444065e-05,8.67778276865072e-06,1.11571492739795e-05,5.78518851243382e-06,3.71904975799317e-06,9.91746602131511e-06,4.95873301065756e-06,1.19836047757558e-05,4.95873301065756e-06,1.32232880284202e-05,5.37196076154569e-05,8.2645550177626e-06,1.81820210390777e-05,1.23968325266439e-05,2.68598038077284e-05,7.43809951598634e-06,2.60333483059522e-05,4.1322775088813e-06,3.71904975799317e-06,1.65291100355252e-06,9.91746602131511e-06,9.50423827042698e-06,3.30582200710504e-06,9.91746602131511e-06,4.1322775088813e-07,2.10746152952946e-05,5.37196076154569e-06,1.32232880284202e-05,3.5124358825491e-05,4.09095473379248e-05,1.32232880284202e-05,2.02481597935184e-05,2.10746152952946e-05,8.2645550177626e-06,1.65291100355252e-06,1.07439215230914e-05,4.1322775088813e-06,4.1322775088813e-06,3.71904975799317e-06,2.89259425621691e-06,1.11571492739795e-05,1.94217042917421e-05,3.71904975799317e-06,2.89259425621691e-06,7.43809951598634e-06,3.1818536818386e-05,9.91746602131511e-06,1.69423377864133e-05,4.50418248468061e-05,2.89259425621691e-06,2.2314298547959e-05,7.85132726687447e-06,5.37196076154569e-06,3.01656258148335e-05,1.94217042917421e-05,1.44629712810845e-05,4.38021415941418e-05,1.23968325266439e-06,4.79344191030231e-05,7.43809951598634e-06,2.47936650532878e-05,5.57857463698975e-05,1.65291100355252e-06,2.8512714811281e-05,2.80994870603928e-05,3.63640420781554e-05,3.34714478219385e-05,5.04137856083518e-05,1.03306937722032e-05,2.31407540497353e-05,0,5.37196076154569e-06,4.50418248468061e-05,2.47936650532878e-05,5.37196076154569e-06,8.67778276865072e-06,2.02481597935184e-05,3.30582200710504e-05,6.19841626332195e-06,4.95873301065756e-06,4.95873301065756e-06,2.5620120555064e-05,3.67772698290435e-05,4.04963195870367e-05,1.98349320426302e-05,2.89259425621691e-06,3.71904975799317e-06,8.2645550177626e-06,2.06613875444065e-05,1.23968325266439e-05,2.06613875444065e-06
"Otu0446",1.19836047757558e-05,1.73555655373014e-05,1.36365157793083e-05,1.2810060277532e-05,2.35539818006234e-05,4.54550525976943e-06,8.67778276865072e-06,5.78518851243382e-06,7.39677674089752e-05,2.93391703130572e-05,2.43804373023997e-05,4.54550525976943e-06,2.47936650532878e-06,1.48761990319727e-05,8.2645550177626e-06,7.85132726687447e-06,3.1818536818386e-05,1.48761990319727e-05,7.89265004196328e-05,4.04963195870367e-05,3.26449923201622e-05,1.61158822846371e-05,7.85132726687447e-06,2.76862593095047e-05,1.52894267828608e-05,3.34714478219385e-05,4.1322775088813e-06,2.89259425621691e-06,5.37196076154569e-06,7.43809951598634e-06,6.3637073636772e-05,3.71904975799317e-06,1.57026545337489e-05,4.1322775088813e-07,8.22323224267378e-05,6.61164401421008e-06,7.85132726687447e-06,8.22323224267378e-05,2.68598038077284e-05,1.19836047757558e-05,0.000150828129074167,4.33889138432536e-05,1.73555655373014e-05,4.95873301065756e-06,2.76862593095047e-05,2.10746152952946e-05,2.89259425621691e-06,1.36365157793083e-05,3.30582200710504e-06,1.98349320426302e-05,5.78518851243382e-05,1.65291100355252e-06,6.15709348823313e-05,2.02481597935184e-05,2.5620120555064e-05,1.9008476540854e-05,2.47936650532878e-06,4.54550525976943e-05,1.23968325266439e-05,2.14878430461827e-05,9.09101051953885e-06,2.89259425621691e-06,5.90915683770026e-05,5.78518851243382e-06,1.61158822846371e-05,9.42159272024936e-05,1.03306937722032e-05,1.69423377864133e-05,5.33063798645687e-05,1.2810060277532e-05,1.77687932881896e-05,2.89259425621691e-06,3.71904975799317e-06,5.37196076154569e-06,6.57032123912126e-05,3.26449923201622e-05,4.33889138432536e-05,1.32232880284202e-05,6.61164401421008e-06,1.07439215230914e-05,2.47936650532878e-06,0.000114464086996012,7.85132726687447e-06,9.50423827042698e-06,7.02487176509821e-06,3.42979033237148e-05,5.33063798645687e-05,3.30582200710504e-05,4.95873301065756e-06,9.50423827042698e-06,3.63640420781554e-05,1.69423377864133e-05,3.05788535657216e-05,4.25624583414774e-05,4.1322775088813e-06,6.15709348823313e-05,1.19836047757558e-05,2.52068928041759e-05,1.65291100355252e-05,1.15703770248676e-05
"Otu0447",3.05788535657216e-05,2.52068928041759e-05,1.57026545337489e-05,4.95873301065756e-06,6.28106181349957e-05,1.9008476540854e-05,7.85132726687447e-06,7.85132726687447e-06,2.43804373023997e-05,5.743865737345e-05,3.76037253308198e-05,1.11571492739795e-05,3.71904975799317e-06,2.19010707970709e-05,7.02487176509821e-06,8.2645550177626e-06,3.42979033237148e-05,1.40497435301964e-05,2.31407540497353e-05,7.9752955921409e-05,7.02487176509821e-06,1.52894267828608e-05,2.19010707970709e-05,3.92566363343723e-05,1.94217042917421e-05,0.000120662503259334,1.03306937722032e-05,1.15703770248676e-05,7.43809951598634e-06,6.61164401421008e-06,1.73555655373014e-05,1.85952487899658e-05,2.31407540497353e-05,8.2645550177626e-07,5.70254296225619e-05,2.02481597935184e-05,8.67778276865072e-06,0.000295457841885013,4.4628597095918e-05,2.47936650532878e-05,2.68598038077284e-05,4.33889138432536e-05,1.2810060277532e-05,6.61164401421008e-06,6.40503013876601e-05,5.37196076154569e-06,1.65291100355252e-06,4.54550525976943e-06,7.43809951598634e-06,4.54550525976943e-06,5.53725186190094e-05,4.1322775088813e-06,1.94217042917421e-05,1.85952487899658e-05,3.05788535657216e-05,2.06613875444065e-05,3.09920813166097e-05,8.71910554373954e-05,2.06613875444065e-05,2.27275262988471e-05,9.50423827042698e-06,7.43809951598634e-06,1.36365157793083e-05,7.85132726687447e-06,2.5620120555064e-05,0.000185126032397882,2.31407540497353e-05,9.00836496936123e-05,2.80994870603928e-05,1.69423377864133e-05,7.14884009036465e-05,1.23968325266439e-06,1.40497435301964e-05,8.67778276865072e-06,3.67772698290435e-05,3.34714478219385e-05,5.743865737345e-05,1.36365157793083e-05,2.10746152952946e-05,1.44629712810845e-05,1.36365157793083e-05,0.00017231597212035,2.47936650532878e-05,9.91746602131511e-06,9.09101051953885e-06,4.00830918361486e-05,5.90915683770026e-05,1.11571492739795e-05,1.03306937722032e-05,1.03306937722032e-05,3.84301808325961e-05,3.1818536818386e-05,0.000104546620974697,4.38021415941418e-05,1.23968325266439e-06,3.14053090674979e-05,1.44629712810845e-05,9.91746602131511e-05,3.42979033237148e-05,6.19841626332195e-06
"Otu0448",2.06613875444065e-06,4.54550525976943e-06,6.19841626332195e-06,4.1322775088813e-07,3.71904975799317e-06,8.2645550177626e-07,0,8.2645550177626e-07,3.30582200710504e-06,1.07439215230914e-05,7.02487176509821e-06,2.47936650532878e-06,1.65291100355252e-06,1.15703770248676e-05,3.30582200710504e-06,0,8.2645550177626e-06,3.30582200710504e-06,6.19841626332195e-06,4.54550525976943e-06,4.1322775088813e-07,8.2645550177626e-07,8.2645550177626e-07,4.95873301065756e-06,7.85132726687447e-06,1.61158822846371e-05,2.89259425621691e-06,8.2645550177626e-07,3.30582200710504e-06,2.47936650532878e-06,4.54550525976943e-06,0,2.47936650532878e-06,0,1.57026545337489e-05,1.23968325266439e-06,4.1322775088813e-07,2.14878430461827e-05,1.69423377864133e-05,7.85132726687447e-06,3.71904975799317e-06,8.67778276865072e-06,0,4.1322775088813e-07,6.61164401421008e-06,3.71904975799317e-06,8.2645550177626e-07,4.1322775088813e-07,1.23968325266439e-06,5.78518851243382e-06,4.1322775088813e-06,5.78518851243382e-06,2.89259425621691e-06,8.67778276865072e-06,9.09101051953885e-06,0,4.1322775088813e-07,1.57026545337489e-05,1.65291100355252e-06,0,0,1.23968325266439e-06,1.23968325266439e-06,3.30582200710504e-06,8.2645550177626e-06,1.03306937722032e-05,2.89259425621691e-06,4.1322775088813e-07,3.30582200710504e-06,4.1322775088813e-06,2.47936650532878e-06,4.1322775088813e-07,4.54550525976943e-06,0,7.85132726687447e-06,9.09101051953885e-06,1.19836047757558e-05,1.23968325266439e-06,3.30582200710504e-06,2.06613875444065e-06,2.47936650532878e-06,7.72735894160803e-05,2.06613875444065e-06,4.1322775088813e-07,3.71904975799317e-06,3.71904975799317e-06,1.19836047757558e-05,4.1322775088813e-07,1.23968325266439e-06,0,4.1322775088813e-06,5.37196076154569e-06,8.2645550177626e-06,8.2645550177626e-06,8.2645550177626e-07,4.1322775088813e-06,4.1322775088813e-06,4.95873301065756e-06,4.1322775088813e-06,4.54550525976943e-06
"Otu0450",9.50423827042698e-06,1.57026545337489e-05,9.09101051953885e-06,7.02487176509821e-06,1.52894267828608e-05,9.50423827042698e-06,1.9008476540854e-05,4.54550525976943e-06,6.19841626332195e-05,1.23968325266439e-05,3.42979033237148e-05,1.23968325266439e-05,5.37196076154569e-06,1.32232880284202e-05,4.1322775088813e-06,6.19841626332195e-06,1.44629712810845e-05,1.2810060277532e-05,9.91746602131511e-06,4.33889138432536e-05,1.03306937722032e-05,2.68598038077284e-05,4.95873301065756e-06,2.06613875444065e-05,9.91746602131511e-06,2.31407540497353e-05,5.37196076154569e-06,4.1322775088813e-06,1.03306937722032e-05,8.67778276865072e-06,1.03306937722032e-05,3.30582200710504e-06,1.15703770248676e-05,8.2645550177626e-07,2.06613875444065e-05,7.43809951598634e-06,8.2645550177626e-07,0.000115290542497788,2.89259425621691e-05,1.85952487899658e-05,3.05788535657216e-05,2.35539818006234e-05,1.03306937722032e-05,4.95873301065756e-06,2.31407540497353e-05,4.54550525976943e-06,4.1322775088813e-07,4.54550525976943e-06,2.06613875444065e-06,4.95873301065756e-06,1.81820210390777e-05,3.71904975799317e-06,6.61164401421008e-06,1.07439215230914e-05,1.11571492739795e-05,1.19836047757558e-05,3.55375865763792e-05,4.21492305905892e-05,6.61164401421008e-06,1.65291100355252e-05,1.40497435301964e-05,6.19841626332195e-06,7.43809951598634e-06,6.19841626332195e-06,9.50423827042698e-06,6.07444793805551e-05,1.19836047757558e-05,3.09920813166097e-05,8.2645550177626e-06,1.73555655373014e-05,1.81820210390777e-05,8.2645550177626e-07,1.03306937722032e-05,6.19841626332195e-06,2.80994870603928e-05,7.85132726687447e-06,4.1322775088813e-05,9.91746602131511e-06,1.19836047757558e-05,0,3.71904975799317e-06,3.34714478219385e-05,1.19836047757558e-05,1.40497435301964e-05,7.43809951598634e-06,1.9008476540854e-05,2.27275262988471e-05,1.15703770248676e-05,5.37196076154569e-06,5.78518851243382e-06,2.35539818006234e-05,1.11571492739795e-05,3.47111310746029e-05,2.68598038077284e-05,6.19841626332195e-06,1.11571492739795e-05,8.67778276865072e-06,2.89259425621691e-05,2.80994870603928e-05,2.89259425621691e-06
"Otu0451",1.19836047757558e-05,1.44629712810845e-05,4.54550525976943e-06,9.50423827042698e-06,2.64465760568403e-05,9.09101051953885e-06,7.85132726687447e-06,5.78518851243382e-06,1.07439215230914e-05,2.35539818006234e-05,2.35539818006234e-05,2.06613875444065e-06,3.71904975799317e-06,9.09101051953885e-06,3.30582200710504e-06,3.30582200710504e-06,2.52068928041759e-05,8.67778276865072e-06,1.98349320426302e-05,3.05788535657216e-05,8.67778276865072e-06,5.37196076154569e-06,5.78518851243382e-06,1.77687932881896e-05,1.11571492739795e-05,3.05788535657216e-05,2.89259425621691e-06,5.37196076154569e-06,5.37196076154569e-06,6.61164401421008e-06,2.43804373023997e-05,4.1322775088813e-06,1.23968325266439e-05,0,2.68598038077284e-05,1.03306937722032e-05,1.65291100355252e-06,7.39677674089752e-05,3.38846755728266e-05,9.50423827042698e-06,2.10746152952946e-05,2.27275262988471e-05,1.11571492739795e-05,8.2645550177626e-07,3.76037253308198e-05,2.89259425621691e-06,1.65291100355252e-06,6.61164401421008e-06,3.30582200710504e-06,1.2810060277532e-05,1.98349320426302e-05,9.09101051953885e-06,4.66947358503587e-05,1.69423377864133e-05,1.19836047757558e-05,9.50423827042698e-06,2.72730315586166e-05,0.000119009592255781,7.43809951598634e-06,2.06613875444065e-05,3.71904975799317e-06,4.95873301065756e-06,1.19836047757558e-05,7.43809951598634e-06,8.2645550177626e-06,5.33063798645687e-05,1.36365157793083e-05,1.81820210390777e-05,1.07439215230914e-05,1.19836047757558e-05,1.2810060277532e-05,1.23968325266439e-06,5.37196076154569e-06,7.02487176509821e-06,1.48761990319727e-05,9.91746602131511e-06,3.34714478219385e-05,9.91746602131511e-06,1.44629712810845e-05,1.65291100355252e-06,9.09101051953885e-06,8.84307386900598e-05,1.81820210390777e-05,1.03306937722032e-05,7.02487176509821e-06,1.81820210390777e-05,2.8512714811281e-05,2.10746152952946e-05,3.30582200710504e-06,5.78518851243382e-06,1.69423377864133e-05,2.35539818006234e-05,5.49592908681213e-05,1.69423377864133e-05,0,1.36365157793083e-05,2.27275262988471e-05,3.09920813166097e-05,1.19836047757558e-05,4.1322775088813e-06
"Otu0452",5.37196076154569e-06,4.54550525976943e-06,5.78518851243382e-06,5.37196076154569e-06,1.57026545337489e-05,5.78518851243382e-06,4.1322775088813e-07,4.54550525976943e-06,2.02481597935184e-05,2.35539818006234e-05,5.78518851243382e-06,6.19841626332195e-06,1.65291100355252e-06,2.89259425621691e-05,2.06613875444065e-06,5.37196076154569e-06,3.71904975799317e-06,2.06613875444065e-06,8.2645550177626e-06,1.81820210390777e-05,4.95873301065756e-06,2.06613875444065e-06,3.30582200710504e-06,1.03306937722032e-05,2.47936650532878e-06,3.84301808325961e-05,2.47936650532878e-06,1.23968325266439e-06,4.95873301065756e-06,3.71904975799317e-06,6.19841626332195e-06,4.95873301065756e-06,1.19836047757558e-05,8.2645550177626e-07,2.97523980639453e-05,3.71904975799317e-06,2.06613875444065e-06,6.32238458858839e-05,2.43804373023997e-05,1.73555655373014e-05,3.26449923201622e-05,2.47936650532878e-05,4.95873301065756e-06,1.65291100355252e-06,2.60333483059522e-05,2.06613875444065e-06,2.89259425621691e-06,7.02487176509821e-06,3.30582200710504e-06,4.54550525976943e-06,2.39672095515115e-05,3.71904975799317e-06,6.19841626332195e-06,2.14878430461827e-05,5.78518851243382e-06,7.43809951598634e-06,5.78518851243382e-06,9.17365606971648e-05,3.71904975799317e-06,6.61164401421008e-06,2.06613875444065e-06,8.2645550177626e-07,1.03306937722032e-05,8.2645550177626e-06,9.09101051953885e-06,7.39677674089752e-05,1.52894267828608e-05,1.36365157793083e-05,7.85132726687447e-06,7.43809951598634e-06,2.47936650532878e-05,2.06613875444065e-06,6.61164401421008e-06,8.2645550177626e-06,1.85952487899658e-05,1.94217042917421e-05,1.40497435301964e-05,4.1322775088813e-06,1.15703770248676e-05,4.54550525976943e-06,3.71904975799317e-06,7.52074506616396e-05,1.23968325266439e-06,6.61164401421008e-06,3.71904975799317e-06,1.81820210390777e-05,1.32232880284202e-05,1.15703770248676e-05,4.1322775088813e-06,3.71904975799317e-06,2.64465760568403e-05,1.07439215230914e-05,1.94217042917421e-05,1.19836047757558e-05,2.89259425621691e-06,9.50423827042698e-06,1.15703770248676e-05,3.67772698290435e-05,5.37196076154569e-06,2.47936650532878e-06
"Otu0453",4.54550525976943e-06,7.02487176509821e-06,8.67778276865072e-06,4.54550525976943e-06,1.19836047757558e-05,1.15703770248676e-05,1.65291100355252e-06,1.40497435301964e-05,2.72730315586166e-05,2.47936650532878e-06,2.60333483059522e-05,8.2645550177626e-06,2.89259425621691e-06,9.50423827042698e-06,5.78518851243382e-06,1.65291100355252e-06,1.11571492739795e-05,3.71904975799317e-06,6.19841626332195e-06,2.02481597935184e-05,2.47936650532878e-06,1.57026545337489e-05,3.30582200710504e-06,1.36365157793083e-05,2.06613875444065e-06,1.94217042917421e-05,2.89259425621691e-06,7.43809951598634e-06,5.37196076154569e-06,4.1322775088813e-06,2.06613875444065e-05,1.52894267828608e-05,4.1322775088813e-06,0,1.07439215230914e-05,6.61164401421008e-06,3.30582200710504e-06,3.26449923201622e-05,2.39672095515115e-05,7.02487176509821e-06,4.50418248468061e-05,9.91746602131511e-06,2.89259425621691e-06,8.2645550177626e-07,1.81820210390777e-05,4.1322775088813e-06,3.30582200710504e-06,6.19841626332195e-06,8.2645550177626e-07,7.02487176509821e-06,1.19836047757558e-05,1.23968325266439e-06,3.71904975799317e-06,7.02487176509821e-06,2.43804373023997e-05,5.78518851243382e-06,8.2645550177626e-07,8.96704219427242e-05,4.54550525976943e-06,2.14878430461827e-05,3.30582200710504e-06,4.1322775088813e-07,1.65291100355252e-06,9.50423827042698e-06,5.78518851243382e-06,2.68598038077284e-05,4.54550525976943e-06,1.52894267828608e-05,2.31407540497353e-05,1.61158822846371e-05,1.81820210390777e-05,3.30582200710504e-06,4.95873301065756e-06,1.32232880284202e-05,3.30582200710504e-05,9.50423827042698e-06,4.33889138432536e-05,7.43809951598634e-06,7.43809951598634e-06,2.06613875444065e-06,4.54550525976943e-06,4.4628597095918e-05,2.06613875444065e-06,4.54550525976943e-06,3.30582200710504e-06,1.23968325266439e-05,2.60333483059522e-05,1.07439215230914e-05,8.2645550177626e-07,3.71904975799317e-06,5.78518851243382e-06,2.02481597935184e-05,3.59508143272673e-05,2.19010707970709e-05,5.78518851243382e-06,7.85132726687447e-06,7.02487176509821e-06,9.09101051953885e-06,4.1322775088813e-06,1.23968325266439e-06
